time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,,,
0.161108,214.304,7285,0.411664,0.294933,,,,,,,,,,
0.165949,230.468,7313,0.414597,0.30196,,,,,,,,,,
0.162744,204.084,7306,0.420644,0.30649,,,,,,,,,,
0.164268,299.946,7620,0.5183,0.333523,,,,,,,,,,
0.164267,304.773,7743,0.609823,0.350606,,,,,,,,,,
0.164321,259.884,7357,0.519747,0.323295,,,,,,,,,,
0.164191,283.797,7548,0.568837,0.331786,,,,,,,,,,
0.163505,245.555,7370,0.496512,0.314753,,,,,,,,,,
0.167086,300.972,7744,0.599333,0.347683,,,,,,,,,,
0.160458,225.662,7338,0.528263,0.308258,,,,,,,,,,
0.162304,272.378,7548,0.488752,0.326296,,,,,,,,261.32105,,
0.164317,268.494,7554,0.456831,0.326367,,,,,,,,,,
0.162397,288.721,7480,0.473293,0.317787,,,,,,,,7486.85,7744,474
0.162005,280.369,7330,0.48283,0.322208,,,,,,,,,7270,
0.165063,219.336,7270,0.424866,0.299086,,,,,,,,0.511244,0.609823,0.198159
0.164999,271.479,7590,0.554546,0.327366,,,,,,,,,0.411664,
0.171405,266.291,7625,0.550232,0.330582,,,,,,,,,,
0.165569,283.947,7602,0.594797,0.34301,,,,,,,,0.3229531,0.350606,0.055673
0.16828,239.232,7469,0.533582,0.313559,,,,,,,,,0.294933,
0.172875,266.729,7645,0.577431,0.339514,,,,,,,,,,
0.164747,271.525,7612,0.582719,0.331969,,,,,,,,,,
