time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000443,0.001871,3,0.462185,0.670559
6.2e-05,0.000507,3,0.469424,0.66221
8.3e-05,0.00045,2,0.384696,0.888836
6.4e-05,0.000485,3,0.462185,0.670559
6.8e-05,0.00046,3,0.462185,0.670559
6.3e-05,0.000416,2,0.384696,0.888836
6.4e-05,0.000431,2,0.384696,0.888836
6.2e-05,0.000389,2,0.384696,0.888836
6.5e-05,0.000544,2,0.384696,0.888836
6.4e-05,0.000499,2,0.384696,0.888836
0.000188,0.000849,2,0.384696,0.888836
6.4e-05,0.00035,2,0.384696,0.888836
6.1e-05,0.000302,3,0.366501,0.80688
6.7e-05,0.000387,2,0.384696,0.888836
8e-05,0.000368,4,0.443535,0.676236
6.7e-05,0.000344,4,0.443535,0.676236
6.3e-05,0.000355,3,0.359025,0.838719
6.2e-05,0.00035,2,0.384696,0.888836
6.4e-05,0.000391,2,0.384696,0.888836
6.6e-05,0.000329,2,0.384696,0.888836
6.6e-05,0.000378,2,0.384696,0.888836
6.5e-05,0.000337,2,0.384696,0.888836
6.8e-05,0.000481,2,0.384696,0.888836
6.6e-05,0.000365,2,0.384696,0.888836
6.3e-05,0.000352,2,0.384696,0.888836
6.2e-05,0.000329,3,0.462185,0.670559
6.4e-05,0.000319,2,0.384696,0.888836
6.4e-05,0.000467,4,0.493098,0.582597
6.5e-05,0.000363,3,0.359025,0.838719
6.4e-05,0.000336,3,0.384182,0.761904
6.8e-05,0.000301,2,0.384696,0.888836
6.3e-05,0.000327,2,0.384696,0.888836
6.5e-05,0.000424,4,0.443535,0.676236
6.5e-05,0.000456,3,0.462185,0.670559
6.3e-05,0.000401,2,0.384696,0.888836
6.1e-05,0.00046,2,0.384696,0.888836
6.4e-05,0.000423,2,0.384696,0.888836
6.3e-05,0.000412,3,0.469424,0.66221
6.7e-05,0.000499,3,0.462185,0.670559
6.3e-05,0.000372,2,0.384696,0.888836
6.7e-05,0.000329,2,0.384696,0.888836
6.5e-05,0.000409,4,0.457419,0.623667
6.6e-05,0.000304,2,0.384696,0.888836
6.6e-05,0.000421,3,0.469424,0.66221
6.4e-05,0.000328,2,0.384696,0.888836
6.7e-05,0.000495,2,0.384696,0.888836
6.7e-05,0.000322,3,0.359025,0.838719
6.8e-05,0.00031,2,0.384696,0.888836
6.5e-05,0.000388,3,0.366501,0.80688
6.3e-05,0.000318,2,0.384696,0.888836
6.4e-05,0.000461,2,0.384696,0.888836
7.6e-05,0.000617,3,0.462185,0.670559
6.5e-05,0.000414,3,0.469424,0.66221
6.9e-05,0.000416,3,0.462185,0.670559
6.6e-05,0.000311,2,0.384696,0.888836
6.7e-05,0.000375,3,0.462185,0.670559
6.5e-05,0.000422,2,0.384696,0.888836
6.5e-05,0.000317,3,0.359025,0.838719
6.6e-05,0.000403,3,0.359025,0.838719
0.000189,0.00041,2,0.384696,0.888836
6.7e-05,0.000505,3,0.459574,0.675902
6.3e-05,0.000396,3,0.462185,0.670559
6.4e-05,0.000418,4,0.493098,0.582597
6.5e-05,0.000376,2,0.384696,0.888836
6.8e-05,0.000367,2,0.384696,0.888836
6.6e-05,0.000362,3,0.359025,0.838719
6.9e-05,0.000324,3,0.359025,0.838719
6.8e-05,0.000349,2,0.384696,0.888836
7.2e-05,0.000428,3,0.462185,0.670559
6.4e-05,0.000367,2,0.384696,0.888836
6.5e-05,0.000366,3,0.366501,0.80688
0.000184,0.001248,3,0.462185,0.670559
6.3e-05,0.000404,2,0.384696,0.888836
6.6e-05,0.000369,2,0.384696,0.888836
6.5e-05,0.000307,3,0.366501,0.80688
6.8e-05,0.000305,2,0.384696,0.888836
6.8e-05,0.000426,3,0.462185,0.670559
6.6e-05,0.000444,3,0.462185,0.670559
6.8e-05,0.000504,3,0.462185,0.670559
7.4e-05,0.000354,2,0.384696,0.888836
6.7e-05,0.000379,2,0.384696,0.888836
7.3e-05,0.00045,3,0.462185,0.670559
6.9e-05,0.000422,2,0.384696,0.888836
7e-05,0.000982,3,0.462185,0.670559
6.9e-05,0.000347,2,0.384696,0.888836
6.8e-05,0.000358,3,0.359025,0.838719
0.000173,0.00074,2,0.384696,0.888836
0.000148,0.000594,2,0.384696,0.888836
6.5e-05,0.000381,3,0.462185,0.670559
