time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000879,0.019991,9,0.593378,0.237402
0.000141,0.008556,9,0.598587,0.224608
0.000596,0.012199,9,0.58481,0.224169
0.000116,0.004995,8,0.603164,0.185639
0.000119,0.004636,10,0.598619,0.245712
0.00012,0.004956,10,0.598619,0.245712
0.000119,0.005001,8,0.581044,0.194757
0.000118,0.004864,9,0.576495,0.218289
0.000119,0.004652,10,0.60136,0.233955
0.00012,0.00713,10,0.605927,0.243344
0.000119,0.00466,11,0.604562,0.261727
0.000119,0.004592,10,0.570185,0.224471
0.00012,0.007406,9,0.570739,0.23435
0.000119,0.004462,9,0.586186,0.240095
0.000131,0.004541,12,0.584811,0.27724
0.000146,0.005056,8,0.579156,0.205793
0.000121,0.004826,10,0.595898,0.245299
0.00012,0.004896,11,0.560167,0.263879
0.000119,0.005026,10,0.602334,0.241743
0.00012,0.004916,11,0.604562,0.261727
0.000124,0.004851,13,0.561297,0.298826
0.00012,0.004636,10,0.580613,0.244703
0.000129,0.004809,9,0.593062,0.203116
0.000122,0.005551,10,0.605927,0.243344
0.000121,0.00498,10,0.601429,0.253718
0.000121,0.005055,7,0.583072,0.19935
0.000122,0.005023,11,0.580482,0.243596
0.000119,0.004779,10,0.597222,0.243915
0.000144,0.004722,9,0.593334,0.243183
0.000118,0.004583,10,0.605927,0.243344
0.000121,0.004815,9,0.585831,0.20391
0.00012,0.004338,9,0.600184,0.241713
0.00012,0.004881,12,0.58082,0.27755
0.000118,0.004478,10,0.605927,0.243344
0.000118,0.00527,11,0.555126,0.252459
0.000118,0.004887,10,0.602185,0.236846
0.000118,0.006917,9,0.551146,0.19027
0.00012,0.004937,10,0.590355,0.233776
0.000119,0.004969,8,0.570384,0.208025
0.00012,0.00514,9,0.600184,0.241713
0.000118,0.005002,10,0.569926,0.253405
0.00012,0.004898,10,0.604732,0.236194
0.00012,0.005077,10,0.602334,0.241743
0.000119,0.005033,10,0.602334,0.241743
0.00012,0.004286,10,0.599319,0.229936
0.000122,0.004881,7,0.568638,0.168478
0.000124,0.004851,11,0.575974,0.258394
0.000118,0.004613,11,0.604562,0.261727
0.000118,0.005228,12,0.530223,0.283513
0.00012,0.004532,11,0.586177,0.259437
0.000123,0.004598,10,0.602334,0.241743
0.000607,0.007502,9,0.597491,0.219873
0.000122,0.005505,10,0.598619,0.245712
0.000124,0.004818,8,0.594941,0.207622
0.00012,0.005461,10,0.598619,0.245712
0.000118,0.005432,7,0.557471,0.172663
0.000122,0.00492,9,0.569992,0.248529
