time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000369,0.001075,1,0.111769,0
0.000342,0.001041,2,0.366453,1
0.000345,0.001146,2,0.366453,1
0.000327,0.000775,1,0.111769,0
0.000224,0.000825,2,0.366453,1
4.6e-05,0.00014,2,0.366453,1
5.1e-05,0.000143,2,0.366453,1
5.2e-05,0.000141,2,0.366453,1
5e-05,0.000131,2,0.366453,1
4.9e-05,0.000131,2,0.366453,1
5.2e-05,0.000133,2,0.366453,1
4.9e-05,0.000197,2,0.366453,1
4.8e-05,0.000142,2,0.366453,1
5.1e-05,0.000208,1,0.111769,0
5.1e-05,0.000166,2,0.366453,1
5e-05,0.000207,1,0.111769,0
5.7e-05,0.000176,2,0.366453,1
5.7e-05,0.000151,2,0.366453,1
5e-05,0.00017,2,0.366453,1
4.9e-05,0.000237,2,0.366453,1
4.9e-05,0.000157,2,0.366453,1
5.2e-05,0.000144,2,0.366453,1
0.000149,0.00039,2,0.366453,1
5.3e-05,0.000234,1,0.111769,0
5e-05,0.000123,1,0.111769,0
5.2e-05,0.000141,2,0.366453,1
4.9e-05,0.000145,2,0.330703,0.836498
5.2e-05,0.000206,2,0.366453,1
5.1e-05,0.000166,2,0.366453,1
5.1e-05,0.000142,2,0.366453,1
4.9e-05,0.000168,2,0.366453,1
4.9e-05,0.000169,2,0.366453,1
5e-05,0.00013,2,0.366453,1
5e-05,0.000199,2,0.366453,1
5.1e-05,0.000178,2,0.366453,1
5e-05,0.00014,2,0.366453,1
5e-05,0.0002,1,0.111769,0
5e-05,0.000151,2,0.366453,1
5.1e-05,0.000225,2,0.366453,1
5.5e-05,0.000201,1,0.111769,0
5e-05,0.000137,2,0.366453,1
4.9e-05,0.000146,2,0.366453,1
4.9e-05,0.000121,1,0.111769,0
5.1e-05,0.000129,2,0.330703,0.836498
5.2e-05,0.000139,2,0.366453,1
4.8e-05,0.000134,2,0.366453,1
5.2e-05,0.000209,2,0.366453,1
5.3e-05,0.000226,2,0.366453,1
6e-05,0.000137,1,0.111769,0
5e-05,0.000169,1,0.111769,0
4.9e-05,0.000259,2,0.366453,1
5e-05,0.000178,1,0.111769,0
5.3e-05,0.000163,2,0.366453,1
0.000368,0.001082,2,0.366453,1
7.7e-05,0.000204,2,0.330703,0.836498
5.1e-05,0.00014,2,0.366453,1
5.2e-05,0.000166,2,0.366453,1
5.1e-05,0.000147,2,0.366453,1
4.9e-05,0.000129,2,0.330703,0.836498
5.3e-05,0.000141,2,0.366453,1
5.3e-05,0.000216,2,0.366453,1
7.7e-05,0.000359,1,0.111769,0
9.8e-05,0.000284,2,0.366453,1
4.9e-05,0.000224,1,0.111769,0
0.000106,0.000297,1,0.111769,0
8.3e-05,0.000172,2,0.366453,1
5.2e-05,0.000131,2,0.366453,1
5e-05,0.000223,1,0.111769,0
5.6e-05,0.000126,2,0.330703,0.836498
5.3e-05,0.000178,1,0.111769,0
5.5e-05,0.000148,2,0.366453,1
5.4e-05,0.000288,2,0.366453,1
5.2e-05,0.000192,2,0.366453,1
4.9e-05,0.000224,1,0.111769,0
5.3e-05,0.000136,2,0.330703,0.836498
5.1e-05,0.000145,2,0.366453,1
5.1e-05,0.000128,2,0.330703,0.836498
5.1e-05,0.000182,1,0.111769,0
5.7e-05,0.000139,2,0.366453,1
7.5e-05,0.000222,1,0.111769,0
4.8e-05,0.000121,1,0.111769,0
5.6e-05,0.00012,1,0.111769,0
0.000102,0.000208,2,0.330703,0.836498
0.000151,0.000562,2,0.366453,1
5.3e-05,0.000173,2,0.366453,1
5.4e-05,0.000134,2,0.366453,1
5.7e-05,0.000209,2,0.366453,1
7.8e-05,0.000327,1,0.111769,0
6.6e-05,0.000236,1,0.111769,0
5.4e-05,0.000125,1,0.111769,0
5.4e-05,0.00023,2,0.366453,1
0.000123,0.000387,1,0.111769,0
5.2e-05,0.00021,2,0.366453,1
0.000126,0.000338,2,0.366453,1
5.3e-05,0.000162,2,0.366453,1
5.5e-05,0.000153,2,0.330703,0.836498
5.2e-05,0.000279,1,0.111769,0
5.4e-05,0.000121,1,0.111769,0
7.1e-05,0.000154,2,0.366453,1
0.000152,0.000376,1,0.111769,0
5.9e-05,0.00016,2,0.366453,1
4.7e-05,0.000158,2,0.366453,1
5.5e-05,0.000139,2,0.366453,1
6.2e-05,0.000755,2,0.366453,1
4.9e-05,0.000144,2,0.366453,1
4.9e-05,0.000251,1,0.111769,0
5.1e-05,0.00018,2,0.366453,1
5.3e-05,0.000171,2,0.366453,1
5.1e-05,0.000176,1,0.111769,0
9.6e-05,0.000217,1,0.111769,0
5.2e-05,0.000116,1,0.111769,0
5e-05,0.000132,2,0.366453,1
5.3e-05,0.000176,2,0.366453,1
5.1e-05,0.000234,1,0.111769,0
5.1e-05,0.000123,1,0.111769,0
5.3e-05,0.000143,2,0.366453,1
5e-05,0.000147,2,0.366453,1
5e-05,0.000148,2,0.366453,1
4.5e-05,0.000131,2,0.366453,1
5e-05,0.000122,2,0.330703,0.836498
4.8e-05,0.000159,2,0.366453,1
4.5e-05,0.000153,2,0.366453,1
5e-05,0.000137,2,0.366453,1
5.1e-05,0.000139,2,0.366453,1
5.2e-05,0.000121,1,0.111769,0
0.000139,0.000394,2,0.366453,1
5e-05,0.000119,1,0.111769,0
5.5e-05,0.000146,2,0.366453,1
4.8e-05,0.000481,2,0.366453,1
5.2e-05,0.000176,2,0.366453,1
5.6e-05,0.00014,2,0.366453,1
5.2e-05,0.000133,2,0.330703,0.836498
5e-05,0.000229,1,0.111769,0
4.9e-05,0.000135,2,0.366453,1
5e-05,0.000136,2,0.366453,1
5e-05,0.000139,2,0.366453,1
4.9e-05,0.000143,2,0.366453,1
4.8e-05,0.000212,2,0.366453,1
5.3e-05,0.00017,2,0.366453,1
