time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000744,0.001562,3,0.457739,0.589386
0.000279,0.001461,3,0.452247,0.563573
0.000101,0.000515,3,0.457739,0.589386
0.000102,0.000463,2,0.450772,0.544212
0.0001,0.000523,3,0.452247,0.563573
9.9e-05,0.000484,3,0.452247,0.563573
0.000103,0.000524,3,0.452247,0.563573
0.000102,0.000532,3,0.452247,0.563573
9.9e-05,0.000511,3,0.452247,0.563573
0.000104,0.000453,3,0.457739,0.589386
0.000101,0.000433,2,0.450772,0.544212
9.9e-05,0.00045,3,0.457739,0.589386
0.000101,0.000477,3,0.452247,0.563573
9.8e-05,0.000668,4,0.429895,0.550164
0.000115,0.000535,3,0.452247,0.563573
9.8e-05,0.00049,3,0.452247,0.563573
0.000108,0.00047,3,0.457739,0.589386
9.8e-05,0.000444,3,0.452247,0.563573
9.7e-05,0.00048,3,0.452247,0.563573
9.7e-05,0.00144,3,0.452247,0.563573
0.000101,0.000562,3,0.457739,0.589386
9.8e-05,0.000554,3,0.452247,0.563573
9.6e-05,0.00059,3,0.452247,0.563573
9.8e-05,0.000449,3,0.452247,0.563573
9.7e-05,0.00045,3,0.452247,0.563573
0.000102,0.000607,3,0.457739,0.589386
9.8e-05,0.000768,2,0.450772,0.544212
0.000101,0.000446,3,0.457739,0.589386
0.0001,0.000604,3,0.452247,0.563573
9.7e-05,0.000609,2,0.450772,0.544212
0.000102,0.000447,3,0.452247,0.563573
9.7e-05,0.000519,3,0.452247,0.563573
9.8e-05,0.000473,3,0.452247,0.563573
9.6e-05,0.000504,3,0.452247,0.563573
9.9e-05,0.000449,3,0.452247,0.563573
9.9e-05,0.000515,3,0.457739,0.589386
9.9e-05,0.000448,3,0.452247,0.563573
9.6e-05,0.000539,3,0.452247,0.563573
9.9e-05,0.000493,3,0.452247,0.563573
9.8e-05,0.000529,3,0.452247,0.563573
9.9e-05,0.000458,3,0.457739,0.589386
9.8e-05,0.000457,3,0.457739,0.589386
9.7e-05,0.000479,3,0.457739,0.589386
9.8e-05,0.000497,3,0.457739,0.589386
9.8e-05,0.000469,3,0.452247,0.563573
9.7e-05,0.000499,3,0.452247,0.563573
0.000115,0.000504,3,0.452247,0.563573
0.0001,0.000439,3,0.452247,0.563573
9.7e-05,0.000463,3,0.457739,0.589386
0.000288,0.001241,3,0.452247,0.563573
9.6e-05,0.000445,3,0.457739,0.589386
9.6e-05,0.00047,3,0.457739,0.589386
0.0001,0.000474,2,0.450772,0.544212
0.000101,0.00084,3,0.457739,0.589386
0.000101,0.000469,2,0.450772,0.544212
