time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,,,,
0.453317,164.667,6213,0.214188,0.0208972,,,,,,,,,,,
0.456085,156.532,6198,0.214129,0.0204818,,,,,,,,,,,
0.450695,162.053,6136,0.214114,0.0204604,,,,,,,,,,,
0.452389,158.821,6255,0.214366,0.0209482,,,,,,,,,,,
0.446859,163.698,6195,0.214252,0.0209032,,,,,,,,,,,
0.446634,159.12,6390,0.214466,0.0207496,,,,,,,,,,,
0.446194,157.957,6050,0.21433,0.0214192,,,,,,,,,,,
0.446925,156.699,6224,0.214234,0.0209174,,,,,,,,,,,
0.44654,155.534,6145,0.214381,0.0214528,,,,,,,,,,,
0.450323,156.374,6015,0.213889,0.0208397,,,,,,,,,,,
0.454987,155.757,6385,0.214401,0.0209756,,,,,,,,,,,
0.457757,180.648,6088,0.214502,0.0218226,,,,,,,,,,,
0.452638,157.248,6287,0.214334,0.0200057,,,,,,,,,,,
0.465074,155.483,6459,0.214599,0.0206792,,,,,,,,,,,
0.460091,166.338,5895,0.213921,0.0204699,,,,,,,,,159.75365,,
0.451749,158.653,5921,0.213901,0.0205875,,,,,,,,,,,
0.461938,158.231,6452,0.214406,0.0203603,,,,,,,,,,,
0.45018,157.156,6051,0.214021,0.0202253,,,,,,,,,,,
0.461342,155.962,6218,0.214135,0.0207571,,,,,,,,,6177.6,6459,564
0.462515,158.142,5975,0.213935,0.0199872,,,,,,,,,,5895,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.2142252,0.214599,0.00071
,,,,,,,,,,,,,,0.213889,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.020746995,0.0218226,0.0018354
,,,,,,,,,,,,,,0.0199872,
