time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
3.39519e-313,0.003058,8,0.596806,0.170392
3.39519e-313,0.003299,9,0.605541,0.213015
3.39519e-313,0.002797,8,0.601105,0.180407
3.39519e-313,0.003114,9,0.577502,0.241051
3.39519e-313,0.002324,8,0.597187,0.173364
3.39519e-313,0.003972,7,0.581815,0.137372
3.39519e-313,0.005013,9,0.601419,0.20942
3.39519e-313,0.002826,8,0.604519,0.191023
3.39519e-313,0.003334,9,0.598861,0.224047
3.39519e-313,0.005491,9,0.603675,0.198863
3.39519e-313,0.002675,8,0.598915,0.198549
3.39519e-313,0.00303,8,0.589691,0.202663
3.39519e-313,0.002526,8,0.59339,0.187591
3.39519e-313,0.003366,10,0.598768,0.23556
3.39519e-313,0.006635,9,0.605541,0.213015
3.39519e-313,0.002746,9,0.604109,0.206513
3.39519e-313,0.003587,8,0.597187,0.173364
3.39519e-313,0.006617,9,0.603675,0.198863
3.39519e-313,0.007203,9,0.601878,0.200109
3.39519e-313,0.003351,10,0.605703,0.251177
3.39519e-313,0.00302,9,0.604681,0.231031
3.39519e-313,0.002647,9,0.604109,0.206513
3.39519e-313,0.002969,9,0.605764,0.20495
3.39519e-313,0.002881,8,0.601589,0.197412
3.39519e-313,0.002652,8,0.581405,0.189441
3.39519e-313,0.004536,9,0.603327,0.225582
3.39519e-313,0.004518,9,0.605764,0.20495
3.39519e-313,0.003821,10,0.604271,0.244787
3.39519e-313,0.005535,7,0.596157,0.16864
3.39519e-313,0.004034,9,0.603327,0.225582
3.39519e-313,0.003577,10,0.605786,0.237569
3.39519e-313,0.004559,9,0.603266,0.22951
3.39519e-313,0.003755,10,0.605703,0.251177
3.39519e-313,0.003912,8,0.579534,0.15797
3.39519e-313,0.004581,8,0.593576,0.187772
3.39519e-313,0.004086,9,0.599915,0.231528
3.39519e-313,0.004018,9,0.605541,0.213015
3.39519e-313,0.003895,10,0.603476,0.231411
3.39519e-313,0.004147,8,0.595745,0.187585
3.39519e-313,0.003547,9,0.599067,0.201597
3.39519e-313,0.0067,8,0.597374,0.201192
3.39519e-313,0.004681,9,0.605623,0.199067
3.39519e-313,0.00297,9,0.597206,0.225564
3.39519e-313,0.003509,9,0.598475,0.219871
3.39519e-313,0.002738,8,0.584171,0.196848
3.39519e-313,0.002835,9,0.598587,0.224608
3.39519e-313,0.002873,8,0.603274,0.198797
3.39519e-313,0.002834,9,0.601419,0.20942
3.39519e-313,0.002395,9,0.602715,0.2099
3.39519e-313,0.002591,10,0.604271,0.244787
3.39519e-313,0.004156,8,0.58729,0.207159
3.39519e-313,0.0033,8,0.593619,0.189626
3.39519e-313,0.002528,8,0.600365,0.210007
3.39519e-313,0.006707,8,0.596075,0.190407
3.39519e-313,0.002497,8,0.552862,0.172452
3.39519e-313,0.002611,7,0.579963,0.182052
3.39519e-313,0.000961,7,0.579115,0.155398
3.39519e-313,0.00081,9,0.596767,0.204539
3.39519e-313,0.000921,8,0.59904,0.169533
3.39519e-313,0.001303,9,0.587731,0.231271
3.39519e-313,0.001591,8,0.603164,0.185639
3.39519e-313,0.000883,8,0.59472,0.185025
3.39519e-313,0.001267,9,0.586626,0.201186
3.39519e-313,0.000874,9,0.577558,0.214489
3.39519e-313,0.000889,9,0.595827,0.229745
3.39519e-313,0.000934,9,0.589025,0.221462
3.39519e-313,0.000896,9,0.584964,0.223202
3.39519e-313,0.000895,8,0.589759,0.219791
3.39519e-313,0.000895,7,0.582226,0.182368
