time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
3.39519e-313,0.003693,4,0.500995,0.548978
3.39519e-313,0.002981,4,0.51279,0.574371
3.39519e-313,0.002743,4,0.525655,0.571575
3.39519e-313,0.00357,4,0.528157,0.553662
3.39519e-313,0.00325,4,0.520614,0.512133
3.39519e-313,0.003249,4,0.501743,0.538145
3.39519e-313,0.00363,4,0.524609,0.564378
3.39519e-313,0.002817,4,0.528651,0.590103
3.39519e-313,0.002679,4,0.518017,0.543293
3.39519e-313,0.002975,4,0.516053,0.52402
3.39519e-313,0.003006,4,0.502221,0.50759
3.39519e-313,0.002308,4,0.511664,0.539344
3.39519e-313,0.003121,5,0.519148,0.491667
3.39519e-313,0.002679,4,0.518508,0.551706
3.39519e-313,0.003232,4,0.516444,0.525198
3.39519e-313,0.003186,4,0.514282,0.493822
3.39519e-313,0.003231,4,0.517359,0.536569
3.39519e-313,0.002828,4,0.513868,0.497993
3.39519e-313,0.003408,4,0.525026,0.529986
3.39519e-313,0.005532,5,0.520853,0.52994
3.39519e-313,0.003181,5,0.511983,0.498691
3.39519e-313,0.00278,4,0.524005,0.569458
3.39519e-313,0.002591,4,0.52066,0.586243
3.39519e-313,0.00289,4,0.510849,0.500637
3.39519e-313,0.002538,5,0.514634,0.517138
3.39519e-313,0.002735,5,0.512685,0.483817
3.39519e-313,0.003445,4,0.519621,0.566814
3.39519e-313,0.003314,4,0.525242,0.564543
3.39519e-313,0.003812,4,0.518156,0.478069
3.39519e-313,0.00348,4,0.525519,0.513517
3.39519e-313,0.002969,4,0.520413,0.554766
3.39519e-313,0.003642,4,0.517932,0.473807
3.39519e-313,0.003475,5,0.524607,0.50315
3.39519e-313,0.003374,4,0.524005,0.569458
3.39519e-313,0.003844,5,0.524213,0.538066
3.39519e-313,0.00297,4,0.527054,0.555133
3.39519e-313,0.002922,4,0.505173,0.516033
3.39519e-313,0.003872,4,0.500483,0.518033
3.39519e-313,0.003571,5,0.525853,0.512234
3.39519e-313,0.002636,3,0.492071,0.527989
3.39519e-313,0.002918,5,0.501221,0.455456
3.39519e-313,0.003278,4,0.524229,0.534121
3.39519e-313,0.002847,4,0.524511,0.579804
3.39519e-313,0.003127,5,0.50227,0.506184
3.39519e-313,0.003312,4,0.524609,0.564378
3.39519e-313,0.004454,4,0.528651,0.590103
3.39519e-313,0.003533,4,0.527293,0.554262
3.39519e-313,0.00309,4,0.528157,0.553662
3.39519e-313,0.003863,4,0.499792,0.533192
3.39519e-313,0.003217,4,0.522861,0.498445
