time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,,,
3.39519e-313,8.95612,123,0.80989,0.350512,,,,,,,,,,
3.39519e-313,8.11604,106,0.809137,0.344303,,,,,,,,,,
3.39519e-313,8.4161,120,0.810238,0.346243,,,,,,,,,,
3.39519e-313,8.35441,122,0.809374,0.34712,,,,,,,,,,
3.39519e-313,7.36605,118,0.809506,0.349524,,,,,,,,,,
3.39519e-313,8.37308,115,0.808027,0.346287,,,,,,,,,,
3.39519e-313,7.66072,119,0.808534,0.348876,,,,,,,,,,
3.39519e-313,8.06808,108,0.808528,0.341723,,,,,,,,,,
3.39519e-313,8.97772,123,0.809355,0.351108,,,,,,,,,,
3.39519e-313,7.91295,117,0.809134,0.345258,,,,,,,,,,
3.39519e-313,7.61606,118,0.808267,0.350392,,,,,,,,,,
3.39519e-313,7.36,120,0.809608,0.349324,,,,,,,,,,
3.39519e-313,8.5169,116,0.809008,0.342134,,,,,,,,8.0564255,,
3.39519e-313,8.05562,105,0.809494,0.341048,,,,,,,,,,
3.39519e-313,7.60409,108,0.808817,0.344181,,,,,,,,,,
3.39519e-313,8.56682,111,0.80994,0.347001,,,,,,,,,,
3.39519e-313,7.81287,119,0.808609,0.347822,,,,,,,,115.9,124,19
3.39519e-313,8.09689,124,0.809609,0.35049,,,,,,,,,105,
3.39519e-313,7.86239,111,0.80965,0.3455,,,,,,,,,,
3.39519e-313,7.4356,115,0.809294,0.349498,,,,,,,,,,
,,,,,,,,,,,,0.80920095,0.810238,0.002211
,,,,,,,,,,,,,0.808027,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,0.3469172,0.351108,0.01006
,,,,,,,,,,,,,0.341048,
