time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
3.39519e-313,0.002764,4,0.495135,0.467524
3.39519e-313,0.00256,4,0.520589,0.418455
3.39519e-313,0.002695,4,0.525988,0.497313
3.39519e-313,0.001995,5,0.521973,0.397301
3.39519e-313,0.001929,4,0.528005,0.484964
3.39519e-313,0.002978,5,0.527214,0.443336
3.39519e-313,0.001931,5,0.521024,0.433876
3.39519e-313,0.002609,5,0.50797,0.410522
3.39519e-313,0.002246,5,0.517187,0.401686
3.39519e-313,0.002974,4,0.521597,0.479106
3.39519e-313,0.002613,4,0.522369,0.418455
3.39519e-313,0.002688,4,0.528005,0.484964
3.39519e-313,0.00285,5,0.510027,0.414295
3.39519e-313,0.002586,5,0.521558,0.474779
3.39519e-313,0.002356,5,0.489122,0.413646
3.39519e-313,0.002535,4,0.516554,0.486478
3.39519e-313,0.002103,4,0.515545,0.465612
3.39519e-313,0.00238,4,0.531387,0.425189
3.39519e-313,0.002155,5,0.516949,0.428511
3.39519e-313,0.001986,4,0.523733,0.490643
3.39519e-313,0.001905,4,0.528005,0.484964
3.39519e-313,0.002389,4,0.512262,0.436678
3.39519e-313,0.0022,5,0.507575,0.375664
3.39519e-313,0.00247,6,0.509038,0.41213
3.39519e-313,0.002743,5,0.526898,0.405893
3.39519e-313,0.002066,4,0.525988,0.477898
3.39519e-313,0.002265,4,0.509078,0.468493
3.39519e-313,0.001343,5,0.531249,0.437829
3.39519e-313,0.0019,5,0.514556,0.409949
3.39519e-313,0.001754,5,0.525039,0.450938
3.39519e-313,0.002377,4,0.522369,0.418455
3.39519e-313,0.002071,5,0.517187,0.401686
3.39519e-313,0.001895,5,0.517187,0.412999
3.39519e-313,0.0026,5,0.516949,0.378298
3.39519e-313,0.002231,4,0.486749,0.424505
3.39519e-313,0.002466,5,0.52049,0.401379
3.39519e-313,0.002164,4,0.516534,0.373233
3.39519e-313,0.002596,5,0.524722,0.457428
3.39519e-313,0.002712,4,0.513528,0.485466
3.39519e-313,0.002203,5,0.521973,0.399848
3.39519e-313,0.002693,5,0.517187,0.401686
3.39519e-313,0.002619,4,0.531387,0.412576
3.39519e-313,0.002075,4,0.531387,0.443975
3.39519e-313,0.002907,4,0.521597,0.479106
3.39519e-313,0.002381,4,0.528005,0.471046
3.39519e-313,0.002403,5,0.517582,0.360744
3.39519e-313,0.002495,4,0.528005,0.471046
3.39519e-313,0.002473,4,0.531387,0.443975
3.39519e-313,0.002024,6,0.517503,0.362447
3.39519e-313,0.002869,4,0.513528,0.470076
3.39519e-313,0.002899,6,0.515763,0.320777
3.39519e-313,0.000657,5,0.517187,0.401686
3.39519e-313,0.000449,5,0.526186,0.399807
3.39519e-313,0.000462,5,0.518176,0.389151
3.39519e-313,0.000529,4,0.512697,0.446716
3.39519e-313,0.000445,4,0.528005,0.46957
3.39519e-313,0.000618,4,0.503461,0.46778
3.39519e-313,0.000491,5,0.505498,0.393315
3.39519e-313,0.000641,5,0.489933,0.386326
3.39519e-313,0.001725,4,0.513132,0.436728
3.39519e-313,0.000483,4,0.491713,0.48889
3.39519e-313,0.000538,4,0.521597,0.479106
3.39519e-313,0.000449,4,0.516534,0.373233
3.39519e-313,0.000512,4,0.525988,0.480438
3.39519e-313,0.000511,5,0.52049,0.380895
3.39519e-313,0.000568,4,0.525711,0.466744
3.39519e-313,0.000513,5,0.514003,0.322515
3.39519e-313,0.000519,5,0.517207,0.392305
3.39519e-313,0.000505,5,0.505854,0.360274
3.39519e-313,0.000449,6,0.515763,0.320777
