time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
3.39519e-313,0.001604,4,0.400312,0.743544
3.39519e-313,0.001852,4,0.41979,0.687263
3.39519e-313,0.001769,4,0.41979,0.687263
3.39519e-313,0.001717,4,0.39045,0.731518
3.39519e-313,0.002265,4,0.3893,0.530358
3.39519e-313,0.001661,3,0.373439,0.825518
3.39519e-313,0.001609,3,0.402038,0.699488
3.39519e-313,0.001766,4,0.406969,0.67826
3.39519e-313,0.001983,4,0.418803,0.586635
3.39519e-313,0.002047,4,0.417406,0.695622
3.39519e-313,0.001506,4,0.415105,0.707135
3.39519e-313,0.001953,4,0.396368,0.522526
3.39519e-313,0.002058,4,0.417242,0.593038
3.39519e-313,0.001581,4,0.415598,0.602145
3.39519e-313,0.002368,4,0.418803,0.586635
3.39519e-313,0.001572,4,0.41979,0.687263
3.39519e-313,0.001619,4,0.417406,0.695622
3.39519e-313,0.001794,4,0.41979,0.687263
3.39519e-313,0.001621,4,0.417242,0.593038
3.39519e-313,0.001893,4,0.415598,0.602145
3.39519e-313,0.00156,4,0.41979,0.687263
3.39519e-313,0.001875,4,0.415598,0.602145
3.39519e-313,0.00177,3,0.402038,0.699488
3.39519e-313,0.002036,4,0.406969,0.67826
3.39519e-313,0.002105,4,0.408695,0.530471
3.39519e-313,0.001942,4,0.415105,0.707135
3.39519e-313,0.001663,4,0.415598,0.602145
3.39519e-313,0.002027,4,0.417242,0.593038
3.39519e-313,0.001813,4,0.418803,0.586635
3.39519e-313,0.001701,4,0.418803,0.586635
3.39519e-313,0.001803,4,0.417242,0.593038
3.39519e-313,0.001958,4,0.386752,0.617467
3.39519e-313,0.001869,4,0.417406,0.695622
3.39519e-313,0.001894,4,0.408695,0.530471
3.39519e-313,0.001684,4,0.415598,0.602145
3.39519e-313,0.001702,4,0.415598,0.602145
3.39519e-313,0.001849,4,0.406969,0.67826
3.39519e-313,0.001824,4,0.415598,0.602145
3.39519e-313,0.001769,4,0.418803,0.586635
3.39519e-313,0.001854,4,0.41979,0.687263
3.39519e-313,0.001801,4,0.417242,0.593038
3.39519e-313,0.002136,4,0.418803,0.586635
3.39519e-313,0.001769,4,0.415105,0.707135
3.39519e-313,0.00073,4,0.417242,0.593038
3.39519e-313,0.000762,4,0.418803,0.586635
3.39519e-313,0.000766,4,0.39045,0.731518
3.39519e-313,0.001117,4,0.415105,0.707135
3.39519e-313,0.001669,4,0.418803,0.586635
3.39519e-313,0.000284,4,0.395217,0.581858
3.39519e-313,0.000253,4,0.398093,0.586662
3.39519e-313,0.000273,4,0.417242,0.593038
3.39519e-313,0.001951,4,0.386752,0.617467
3.39519e-313,0.00193,4,0.417242,0.593038
3.39519e-313,0.001798,3,0.402038,0.699488
3.39519e-313,0.001581,4,0.415105,0.707135
3.39519e-313,0.001584,4,0.417242,0.593038
3.39519e-313,0.000283,4,0.417406,0.695622
3.39519e-313,0.001656,4,0.415105,0.707135
3.39519e-313,0.001544,3,0.39908,0.825518
3.39519e-313,0.000356,4,0.408695,0.530471
3.39519e-313,0.000251,4,0.404997,0.580551
3.39519e-313,0.000276,4,0.415598,0.602145
3.39519e-313,0.000274,4,0.400312,0.743545
3.39519e-313,0.000281,4,0.41979,0.687263
3.39519e-313,0.00026,4,0.41979,0.687263
3.39519e-313,0.000248,4,0.41979,0.687263
3.39519e-313,0.000442,4,0.415105,0.707135
3.39519e-313,0.000353,4,0.41979,0.687263
3.39519e-313,0.000271,4,0.417242,0.593038
3.39519e-313,0.000244,4,0.415105,0.707135
3.39519e-313,0.000301,4,0.418803,0.586635
3.39519e-313,0.000254,4,0.41979,0.687263
3.39519e-313,0.000238,4,0.418803,0.586635
3.39519e-313,0.000318,4,0.386752,0.617467
3.39519e-313,0.000296,4,0.408695,0.530471
3.39519e-313,0.000296,4,0.404997,0.580551
3.39519e-313,0.000274,4,0.417242,0.593038
3.39519e-313,0.000263,4,0.400312,0.743544
3.39519e-313,0.000283,4,0.415105,0.707135
3.39519e-313,0.000277,4,0.415105,0.707135
3.39519e-313,0.000282,4,0.393655,0.588097
3.39519e-313,0.000254,4,0.418803,0.586635
3.39519e-313,0.000253,4,0.418803,0.586635
3.39519e-313,0.000268,4,0.417242,0.593038
3.39519e-313,0.000275,4,0.418803,0.586635
3.39519e-313,0.000312,3,0.39908,0.825518
3.39519e-313,0.000329,4,0.418803,0.586635
3.39519e-313,0.000401,4,0.388642,0.549981
3.39519e-313,0.000692,4,0.415598,0.602145
3.39519e-313,0.000268,4,0.417406,0.695622
3.39519e-313,0.000265,4,0.41979,0.687263
3.39519e-313,0.00028,4,0.418803,0.586635
3.39519e-313,0.000264,4,0.41979,0.687263
3.39519e-313,0.000373,4,0.41979,0.687263
3.39519e-313,0.000274,4,0.41979,0.687263
3.39519e-313,0.000299,4,0.406969,0.67826
3.39519e-313,0.000276,4,0.388642,0.549981
3.39519e-313,0.000281,4,0.386752,0.617467
3.39519e-313,0.000308,4,0.415105,0.707135
3.39519e-313,0.000295,4,0.415105,0.707135
3.39519e-313,0.000323,4,0.41979,0.687263
3.39519e-313,0.000268,4,0.41979,0.687263
3.39519e-313,0.000241,4,0.418803,0.586635
3.39519e-313,0.000257,4,0.418803,0.586635
3.39519e-313,0.000276,4,0.417242,0.593038
3.39519e-313,0.000478,4,0.417242,0.593038
3.39519e-313,0.000281,4,0.417242,0.593038
3.39519e-313,0.000283,4,0.417242,0.593038
3.39519e-313,0.001658,4,0.41979,0.687263
3.39519e-313,0.000287,4,0.415598,0.602145
3.39519e-313,0.000271,4,0.396532,0.599129
3.39519e-313,0.000325,4,0.418803,0.586635
3.39519e-313,0.00028,4,0.387985,0.560152
3.39519e-313,0.000278,4,0.393655,0.588097
3.39519e-313,0.000367,4,0.417242,0.593038
3.39519e-313,0.000241,4,0.415105,0.707135
