time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,,,,,
0.169083,203.691,22332,0.786056,0.654748,,,,,,,,,,,,
0.168879,203.467,22226,0.786639,0.654887,,,,,,,,,,,,
0.169072,203.828,22255,0.786431,0.654555,,,,,,,,,,,,
0.173086,202.834,22306,0.786556,0.654518,,,,,,,,,,,,
0.172274,203.503,22273,0.786832,0.654827,,,,,,,,,,,,
0.172702,203.228,22321,0.786327,0.654563,,,,,,,,,,,,
0.168912,202.683,22279,0.787355,0.654868,,,,,,,,,,,,
0.169728,203.671,22381,0.784581,0.654864,,,,,,,,,,,,
0.171389,204.483,22315,0.786577,0.654658,,,,,,,,,,,,
0.167657,204.807,22488,0.783285,0.654466,,,,,,,,,,,,
0.171838,202.95,22346,0.785626,0.654668,,,,,,,,,,,,
0.18738,204.339,22289,0.7859,0.654802,,,,,,,,,,,,
0.16803,204.983,22253,0.786075,0.654394,,,,,,,,,,,,
0.169613,204.286,22267,0.786231,0.654752,,,,,,,,,,,,
0.174501,203.103,22433,0.785798,0.654683,,,,,,,,,,,,
0.171625,204.703,22307,0.78616,0.654755,,,,,,,,,,,,
0.177973,204.235,22388,0.785032,0.654748,,,,,,,,,,,,
0.178855,204.67,22468,0.784766,0.654495,,,,,,,,,,203.85705,,
0.185194,204.122,22295,0.785949,0.654901,,,,,,,,,,,,
0.172378,203.555,22381,0.785554,0.654603,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,22330.15,22488,262
,,,,,,,,,,,,,,,22226,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.7858865,0.787355,0.00407
,,,,,,,,,,,,,,,0.783285,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.65468775,0.654901,0.000507
,,,,,,,,,,,,,,,0.654394,
