time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,,,,,
0.165192,238.168,23585,0.700255,0.609397,,,,,,,,,,,,
0.16522,213.404,20675,0.669126,0.552627,,,,,,,,,,,,
0.165309,232.973,23184,0.700753,0.602267,,,,,,,,,,,,
0.166161,215.178,20689,0.671451,0.554389,,,,,,,,,,,,
0.164964,235.721,23648,0.700312,0.609709,,,,,,,,,,,,
0.168599,241.653,23784,0.698615,0.612939,,,,,,,,,,,,
0.165288,212.278,21088,0.677073,0.55955,,,,,,,,,,,,
0.166088,235.219,23521,0.700382,0.608629,,,,,,,,,,,,
0.168471,234.676,23548,0.699869,0.607553,,,,,,,,,,,,
0.169495,238.02,23942,0.698519,0.61343,,,,,,,,,,,,
0.167852,229.102,20917,0.676796,0.560066,,,,,,,,,,,,
0.166502,209.624,20814,0.674121,0.556262,,,,,,,,,,,,
0.170516,211.417,20762,0.672443,0.554518,,,,,,,,,,,,
0.168695,217.31,20829,0.673659,0.556252,,,,,,,,,,,,
0.166746,211.376,20795,0.67492,0.556965,,,,,,,,,,,,
0.173795,237.342,23600,0.699915,0.609669,,,,,,,,,,,,
0.170233,240.138,23925,0.697187,0.615604,,,,,,,,,,,,
0.167204,211.633,20768,0.672882,0.555538,,,,,,,,,,,,
0.177305,236.243,23665,0.700176,0.610427,,,,,,,,,,225.7736,,
0.173101,213.997,20669,0.66926,0.552442,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,22220.4,23942,3273
,,,,,,,,,,,,,,,20669,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.6863857,0.700753,0.031627
,,,,,,,,,,,,,,,0.669126,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.58291165,0.615604,0.063162
,,,,,,,,,,,,,,,0.552442,
