time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000466,0.002409,7,0.422115,0.407921
0.000434,0.005593,7,0.444207,0.40176
0.000425,0.006805,7,0.444207,0.40176
0.000381,0.00334,7,0.45014,0.40176
0.000414,0.002336,7,0.443159,0.424701
0.000409,0.002797,6,0.438689,0.415581
0.000422,0.002517,6,0.379059,0.452989
0.000376,0.004592,6,0.455639,0.369514
0.000369,0.001823,6,0.437305,0.410964
0.000369,0.004214,6,0.44395,0.392863
0.000416,0.005702,7,0.441913,0.423484
0.000415,0.001513,6,0.379059,0.452989
0.000409,0.001875,5,0.384993,0.475663
0.000427,0.002193,6,0.449053,0.37747
0.000429,0.003637,6,0.438689,0.415581
0.000428,0.002182,7,0.448835,0.40176
0.000376,0.002282,6,0.438254,0.451902
0.00038,0.001404,6,0.420454,0.444321
0.000396,0.002897,6,0.424746,0.437438
0.000369,0.001443,7,0.434971,0.426352
0.000418,0.002313,6,0.44662,0.433032
0.000388,0.002079,5,0.442012,0.393943
0.000368,0.001489,7,0.425913,0.406185
0.000428,0.002184,7,0.428563,0.383974
0.000384,0.005853,6,0.453661,0.390149
0.000427,0.002899,6,0.43952,0.401411
0.00036,0.003865,6,0.43327,0.401411
0.000422,0.002808,7,0.422115,0.407921
0.000422,0.006305,7,0.441913,0.423484
0.000427,0.002853,7,0.443159,0.446963
0.00042,0.001852,6,0.389186,0.480678
0.000386,0.004074,7,0.440469,0.40954
0.00043,0.002137,6,0.444702,0.444651
0.000429,0.001975,6,0.437067,0.399659
0.00043,0.003708,6,0.447411,0.391714
0.000426,0.003305,7,0.424924,0.385474
0.000435,0.00235,7,0.441913,0.423484
0.000398,0.002334,7,0.434971,0.426352
0.000479,0.003517,6,0.379059,0.452989
0.000366,0.004112,7,0.437621,0.404161
0.000417,0.001456,7,0.432993,0.366871
0.000425,0.002378,6,0.439994,0.424207
0.000404,0.002049,6,0.44662,0.433032
0.00036,0.003882,5,0.384043,0.523859
0.000397,0.002778,6,0.427614,0.376882
0.000378,0.001383,5,0.389977,0.562478
0.000378,0.00222,6,0.373838,0.481163
0.000396,0.002257,5,0.417962,0.471201
0.000404,0.003179,6,0.441596,0.430561
0.000397,0.001615,5,0.454452,0.428914
0.000364,0.003554,6,0.396582,0.472751
0.000387,0.002937,6,0.447411,0.391714
9.6e-05,0.001822,7,0.43327,0.416007
8.1e-05,0.003147,7,0.425913,0.406185
6.4e-05,0.000668,5,0.447866,0.431755
6.7e-05,0.002919,6,0.437067,0.399659
7.6e-05,0.000247,7,0.44128,0.359206
8.5e-05,0.001899,5,0.387702,0.48847
6.7e-05,0.001452,6,0.44662,0.433032
7.5e-05,0.001487,6,0.449705,0.369514
0.000148,0.003239,7,0.422115,0.407921
6.4e-05,0.000209,7,0.443119,0.361408
6.3e-05,0.000336,5,0.396147,0.446661
7.8e-05,0.001085,7,0.428563,0.383974
6.5e-05,0.001514,7,0.432162,0.406185
6.9e-05,0.000761,6,0.448835,0.41009
6.6e-05,0.00037,7,0.440944,0.402752
7.1e-05,0.003092,6,0.430106,0.41553
7.2e-05,0.000367,7,0.428563,0.383974
0.000122,0.000387,7,0.445216,0.400796
6.8e-05,0.001716,7,0.432162,0.406185
6.7e-05,0.001345,6,0.446442,0.370445
0.000175,0.001011,5,0.390214,0.446661
7e-05,0.000283,7,0.422115,0.407921
7.1e-05,0.001206,6,0.45014,0.418384
6.4e-05,0.000249,7,0.434971,0.426352
6.9e-05,0.001244,7,0.427614,0.431168
6.9e-05,0.00026,5,0.389186,0.493619
6.9e-05,0.001223,6,0.438254,0.441131
7e-05,0.001521,6,0.373838,0.481163
7.1e-05,0.000866,5,0.384043,0.463763
6.9e-05,0.000359,6,0.436078,0.378391
7.1e-05,0.000291,6,0.439678,0.436054
6.6e-05,0.000295,6,0.437067,0.399659
0.000196,0.001412,6,0.448835,0.41009
7.3e-05,0.000609,4,0.408014,0.459682
6.6e-05,0.000641,5,0.391203,0.510523
6.5e-05,0.001466,8,0.439104,0.387028
7e-05,0.003749,6,0.439718,0.376882
6.7e-05,0.000485,5,0.445611,0.458569
6.6e-05,0.000322,6,0.434496,0.399446
6.8e-05,0.000367,6,0.443119,0.371768
7.1e-05,0.000436,7,0.436118,0.429321
7.4e-05,0.002475,7,0.444207,0.40176
8.1e-05,0.000314,7,0.448835,0.40176
7.1e-05,0.002185,6,0.449705,0.369514
6.9e-05,0.000584,7,0.424924,0.385474
6.1e-05,0.00059,5,0.372889,0.475663
6.2e-05,0.001926,7,0.444207,0.40176
6.5e-05,0.002586,6,0.43952,0.401411
6e-05,0.00057,5,0.417962,0.471201
6.8e-05,0.000857,7,0.441913,0.423484
0.00018,0.001947,6,0.45014,0.418384
6.5e-05,0.001516,6,0.430046,0.354771
6.6e-05,0.000431,6,0.397018,0.474645
6.6e-05,0.00044,7,0.434971,0.426352
6.6e-05,0.001369,7,0.430422,0.408576
6.5e-05,0.001634,6,0.442249,0.412617
6.1e-05,0.001888,8,0.439718,0.42907
6.3e-05,0.001814,6,0.443159,0.434315
6.5e-05,0.000412,6,0.440667,0.41549
6.5e-05,0.00292,6,0.447411,0.391714
6.7e-05,0.000646,6,0.379059,0.452989
6.6e-05,0.002782,7,0.438452,0.424701
6.5e-05,0.002342,6,0.43327,0.401411
6.5e-05,0.00191,6,0.443159,0.434315
6.1e-05,0.002331,7,0.432162,0.404196
6.1e-05,0.000568,4,0.352003,0.62031
7.1e-05,0.00086,6,0.40121,0.472751
6.1e-05,0.000643,6,0.44662,0.433032
6.3e-05,0.000737,6,0.447411,0.391714
6.3e-05,0.000333,6,0.379336,0.509171
6.4e-05,0.001004,6,0.449705,0.369514
6.3e-05,0.00093,7,0.432162,0.406185
6.4e-05,0.000203,7,0.441913,0.423484
6.3e-05,0.002075,7,0.444207,0.40176
6.4e-05,0.001006,6,0.397769,0.500603
6.5e-05,0.000726,7,0.44662,0.423484
6.5e-05,0.000487,6,0.444781,0.429043
6.5e-05,0.002967,6,0.437067,0.399659
6.8e-05,0.000834,7,0.434496,0.38449
7.4e-05,0.00228,6,0.446719,0.394421
6.3e-05,0.000516,6,0.384993,0.452989
6.3e-05,0.001023,7,0.436118,0.429321
6.2e-05,0.006679,7,0.45014,0.40176
6.6e-05,0.00049,6,0.379059,0.452989
6.4e-05,0.003321,6,0.443119,0.371768
6.6e-05,0.000319,6,0.433745,0.413875
7.2e-05,0.001302,6,0.443317,0.399659
8.5e-05,0.000921,5,0.396266,0.482086
6.1e-05,0.000374,6,0.379059,0.452989
0.00018,0.002348,6,0.448835,0.41009
6.3e-05,0.003628,5,0.452553,0.455159
6.4e-05,0.000263,8,0.423085,0.37156
6.6e-05,0.000245,6,0.447866,0.412617
7.2e-05,0.000337,7,0.422115,0.407921
0.000114,0.000727,6,0.384558,0.480678
6.5e-05,0.004124,8,0.423085,0.37156
0.000182,0.006742,6,0.436118,0.439184
