time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000329,0.001202,2,0.371795,0.83717
0.000328,0.001355,3,0.374425,0.694858
0.000335,0.002526,3,0.374425,0.694858
0.000342,0.000939,4,0.415105,0.707135
0.000337,0.001155,2,0.319444,0.580113
0.000339,0.001776,3,0.374425,0.694858
0.000397,0.000695,2,0.359961,0.836498
0.000329,0.001156,2,0.359961,0.836498
0.000386,0.000898,2,0.371466,1
0.000339,0.001311,2,0.359961,0.836498
0.000334,0.001349,3,0.374425,0.694858
0.000333,0.000829,2,0.371466,1
0.000326,0.000831,1,0,0
0.000332,0.000994,2,0.371795,0.83717
0.000375,0.0012,3,0.374425,0.694858
0.000312,0.000891,2,0.371795,0.83717
0.000286,0.00136,3,0.374425,0.694858
0.000285,0.001464,3,0.402038,0.699488
0.000329,0.001183,2,0.371795,0.83717
0.00033,0.00194,2,0.371795,0.83717
0.000324,0.00207,3,0.39908,0.825518
0.000329,0.002298,2,0.303665,0.465844
0.000331,0.001481,2,0.359961,0.836498
0.000326,0.001243,3,0.358892,0.434726
0.000319,0.001272,2,0.371795,0.83717
0.000316,0.001024,2,0.359961,0.836498
0.000336,0.001281,2,0.132807,0.225967
0.000337,0.001133,2,0.371795,0.83717
0.00035,0.001034,2,0.371466,1
0.000331,0.000694,1,0,0
0.000327,0.000678,2,0.0687048,0.144144
0.000164,0.000776,2,0.371466,1
0.000185,0.000632,2,0.359961,0.836498
0.000178,0.000463,2,0.371466,1
0.000175,0.000583,2,0.371795,0.837169
0.000173,0.000543,2,0.132807,0.225967
0.000185,0.000539,2,0.359961,0.836498
0.000171,0.000331,1,0,0
0.000171,0.000429,3,0.402038,0.699488
0.000167,0.000497,2,0.371795,0.83717
0.000187,0.000479,3,0.402038,0.699488
0.000173,0.000408,3,0.402038,0.699488
0.000179,0.000548,3,0.402038,0.699488
0.000327,0.000734,3,0.374425,0.694858
0.000343,0.001527,3,0.39908,0.825518
0.000323,0.000808,2,0.359961,0.836498
0.000328,0.000683,2,0.359961,0.836498
0.000355,0.00112,2,0.371795,0.83717
0.000286,0.000756,2,0.319444,0.580113
0.000327,0.000889,3,0.374425,0.694858
0.000322,0.000836,2,0.132807,0.225967
6.7e-05,0.00013,2,0.371795,0.83717
9.5e-05,0.000186,3,0.39908,0.825518
5.1e-05,0.000201,2,0.371466,1
6.5e-05,0.000132,3,0.39908,0.825518
4.9e-05,0.00011,3,0.39908,0.825518
5e-05,0.000157,2,0.359961,0.836498
5.1e-05,0.000134,2,0.359961,0.836498
5.4e-05,0.000317,3,0.402038,0.699488
