time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000596,0.002016,2,0.456479,0.568371
0.000589,0.00295,2,0.445576,0.501575
0.000594,0.002753,2,0.456849,0.597922
0.0007,0.001784,3,0.496576,0.586089
0.000716,0.002402,3,0.496576,0.586089
0.000655,0.002026,2,0.456849,0.597922
0.000655,0.002016,4,0.49141,0.5793
0.000652,0.003149,3,0.50056,0.574466
0.000654,0.002403,3,0.50056,0.574466
0.000693,0.002876,2,0.45689,0.597922
0.000665,0.004054,3,0.496576,0.586089
0.000678,0.002969,3,0.496576,0.586089
0.000644,0.001741,3,0.490454,0.488857
0.000596,0.002774,3,0.496576,0.586089
0.000595,0.002475,4,0.49141,0.5793
0.000579,0.002708,5,0.488541,0.520299
0.000664,0.002381,2,0.451635,0.57129
0.000655,0.002669,3,0.50056,0.574466
0.000659,0.002679,4,0.486428,0.550049
0.000641,0.002969,3,0.50056,0.574466
0.000644,0.002689,3,0.50056,0.574466
0.000645,0.002551,3,0.50056,0.574466
0.000647,0.002206,3,0.50056,0.574466
0.000647,0.003557,4,0.494226,0.523525
0.000657,0.002243,3,0.451923,0.525951
0.000587,0.002709,2,0.456849,0.568681
0.000617,0.004036,3,0.50056,0.574466
0.000585,0.00301,3,0.469128,0.562845
0.000597,0.002351,3,0.50056,0.574466
0.000663,0.003136,3,0.496576,0.586089
0.000589,0.002496,3,0.496576,0.586089
0.000588,0.003032,3,0.496576,0.586089
0.000589,0.002453,3,0.50056,0.574466
0.000644,0.002782,3,0.496576,0.586089
0.000646,0.002063,3,0.50056,0.574466
0.000594,0.002834,3,0.496576,0.586089
0.000693,0.002606,3,0.496576,0.586089
0.000597,0.003203,4,0.490763,0.593512
0.000787,0.004925,4,0.494226,0.523525
0.000728,0.002365,4,0.495563,0.567952
0.000665,0.002623,3,0.50056,0.574466
0.000705,0.00212,3,0.50056,0.574466
0.000589,0.002864,3,0.496576,0.586089
0.000599,0.002183,4,0.489932,0.593512
0.00059,0.00245,4,0.49141,0.5793
0.000603,0.002702,3,0.496576,0.586089
0.00066,0.002977,3,0.496576,0.586089
0.0007,0.002309,3,0.496576,0.586089
0.00061,0.002961,3,0.496576,0.586089
0.000591,0.002899,4,0.49141,0.5793
0.000584,0.003238,3,0.490454,0.488857
0.000595,0.00297,3,0.50056,0.574466
0.000648,0.003073,3,0.496576,0.586089
0.000645,0.002443,3,0.496576,0.586089
0.000591,0.002563,3,0.496576,0.586089
0.00059,0.00261,3,0.50056,0.574466
0.000586,0.00214,3,0.457965,0.593391
0.000594,0.002986,4,0.489932,0.593512
0.000173,0.001356,3,0.496576,0.586089
0.000103,0.000676,4,0.489932,0.593512
0.0001,0.000416,3,0.496576,0.586089
0.000101,0.000771,4,0.489932,0.593512
0.000105,0.000327,3,0.475751,0.644586
0.0001,0.000669,2,0.456479,0.568371
0.000102,0.000845,3,0.446293,0.554182
0.000121,0.001454,3,0.50056,0.574466
0.000271,0.002039,3,0.496576,0.586089
0.0001,0.000724,2,0.456849,0.597922
0.000101,0.000466,3,0.451923,0.525951
0.000102,0.000476,4,0.528157,0.553662
0.000101,0.000946,3,0.496576,0.586089
0.0001,0.000518,3,0.50056,0.574466
0.000105,0.00076,3,0.50056,0.574466
0.000104,0.00053,2,0.442048,0.512003
0.000105,0.00047,5,0.510335,0.556986
0.000106,0.001482,4,0.494264,0.510888
0.000103,0.000597,5,0.496825,0.566767
0.000105,0.000701,3,0.50056,0.574466
9.9e-05,0.000852,3,0.50056,0.574466
0.000101,0.000939,4,0.485703,0.605318
0.000102,0.00052,3,0.446293,0.554182
0.000101,0.001446,3,0.496576,0.586089
0.000104,0.00046,3,0.50056,0.574466
0.000103,0.000975,4,0.503882,0.559274
0.0001,0.000832,3,0.50056,0.574466
0.000104,0.00131,4,0.495563,0.567952
0.000102,0.0006,3,0.50056,0.574466
0.000102,0.000822,3,0.496576,0.586089
0.000103,0.001103,4,0.494226,0.523525
0.0001,0.001132,3,0.496576,0.586089
0.000102,0.000813,3,0.50056,0.574466
9.7e-05,0.000622,4,0.490763,0.593512
0.000103,0.001278,3,0.496576,0.586089
0.000103,0.00065,3,0.50056,0.574466
0.00017,0.000576,4,0.528157,0.553662
0.000283,0.001264,3,0.496576,0.586089
0.000102,0.001208,3,0.496576,0.586089
0.000107,0.000658,3,0.496576,0.586089
0.000301,0.001176,4,0.494226,0.523525
0.000103,0.000763,3,0.496576,0.586089
0.000105,0.000554,4,0.507821,0.548584
9.9e-05,0.000998,2,0.456849,0.568681
0.000309,0.001578,3,0.496576,0.586089
9.8e-05,0.000681,3,0.496576,0.586089
0.000103,0.000838,3,0.50056,0.574466
0.00014,0.000639,4,0.528157,0.553662
0.000103,0.001329,3,0.496576,0.586089
0.000106,0.001006,4,0.494264,0.510888
0.00014,0.000875,5,0.489228,0.519175
0.000101,0.00042,3,0.477355,0.537188
0.000102,0.000741,4,0.489932,0.593512
0.0001,0.001549,3,0.496576,0.586089
0.00011,0.000419,3,0.50056,0.574466
9.7e-05,0.001178,3,0.50056,0.574466
9.8e-05,0.000968,3,0.50056,0.574466
9.7e-05,0.001304,3,0.50056,0.574466
0.0001,0.001384,3,0.50056,0.574466
9.9e-05,0.0009,3,0.496576,0.586089
9.9e-05,0.000602,3,0.467948,0.588734
0.000101,0.000556,2,0.456849,0.597922
0.000102,0.00057,5,0.511518,0.520515
0.000112,0.000689,2,0.456479,0.568371
0.00028,0.001854,3,0.50056,0.574466
9.5e-05,0.000978,4,0.494838,0.583564
9.6e-05,0.00068,3,0.490475,0.513872
9.4e-05,0.003317,4,0.494264,0.510888
9.8e-05,0.000684,4,0.485703,0.605318
0.000101,0.00072,2,0.456849,0.597922
9.6e-05,0.001494,4,0.485703,0.605318
9.8e-05,0.000644,2,0.456849,0.597922
0.000101,0.00211,4,0.494264,0.510888
9.7e-05,0.000953,3,0.496576,0.586089
0.0001,0.001077,3,0.496576,0.586089
0.000101,0.000841,3,0.496576,0.586089
9.8e-05,0.000759,3,0.50056,0.574466
0.000101,0.001026,3,0.50056,0.574466
0.000101,0.000689,2,0.456479,0.568371
0.0001,0.000603,3,0.50056,0.574466
9.8e-05,0.000533,4,0.49141,0.5793
9.8e-05,0.001364,4,0.49141,0.5793
0.000215,0.001342,2,0.456479,0.568371
9.9e-05,0.000986,3,0.50056,0.574466
0.000102,0.00039,4,0.495563,0.567952
9.7e-05,0.000624,3,0.469128,0.562845
0.0001,0.000807,3,0.50056,0.574466
0.000215,0.002096,3,0.50056,0.574466
9.9e-05,0.000464,3,0.492241,0.541566
9.9e-05,0.000472,2,0.446398,0.524999
0.000101,0.000544,4,0.49141,0.5793
0.000104,0.000804,4,0.495563,0.567952
0.0001,0.000932,3,0.492241,0.541566
0.0001,0.000698,3,0.50056,0.574466
0.000102,0.001114,4,0.507821,0.548584
9.9e-05,0.000495,3,0.496576,0.586089
0.000101,0.002033,3,0.50056,0.574466
9.9e-05,0.000826,4,0.490763,0.593512
0.0001,0.000718,4,0.489932,0.593512
0.0001,0.000954,3,0.496576,0.586089
9.8e-05,0.000816,3,0.496576,0.586089
0.000104,0.000642,3,0.457739,0.589386
0.0003,0.000863,4,0.494226,0.523525
9.8e-05,0.000768,3,0.496576,0.586089
9.8e-05,0.000654,5,0.509618,0.495683
0.0001,0.000887,3,0.496576,0.586089
