time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,,,
0.455646,718.241,39070,0.674488,0.0496524,,,,,,,,,,
0.464919,704.82,37320,0.551366,0.0419051,,,,,,,,,,
0.465562,719.662,38663,0.673982,0.0495357,,,,,,,,,,
0.454122,718.954,38468,0.673698,0.0496824,,,,,,,,,,
0.463644,722.095,39809,0.66268,0.0493214,,,,,,,,,,
0.467333,737.083,42162,0.660336,0.0492121,,,,,,,,,,
0.465983,767.401,43601,0.650115,0.0496635,,,,,,,,,,
0.459385,736.068,41361,0.662255,0.0501566,,,,,,,,,,
0.456754,663.261,32959,0.42927,0.0394957,,,,,,,,,,
0.468527,725.638,39486,0.672584,0.0496831,,,,,,,,,,
0.468154,721.206,38769,0.666003,0.0492251,,,,,,,,,,
0.468937,723.435,39864,0.663683,0.0498759,,,,,,,,,,
0.45835,679.51,34369,0.522307,0.0428261,,,,,,,,,,
0.477344,669.418,31703,0.253038,0.0374007,,,,,,,,719.0407895,,
0.462259,731.665,40535,0.662392,0.0489322,,,,,,,,,,
0.461907,734.561,41081,0.648294,0.048861,,,,,,,,,,
0.484342,736.036,41237,0.660033,0.0495799,,,,,,,,,,
0.461705,724.762,40097,0.672365,0.050477,,,,,,,,39026.47368,43601,11898
0.463694,727.959,40949,0.644757,0.0488249,,,,,,,,,31703,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,0.615981368,0.674488,0.42145
,,,,,,,,,,,,,0.253038,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,0.047595305,0.050477,0.0130763
,,,,,,,,,,,,,0.0374007,
