time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,
0.171658,2027.22,22298,0.786156,0.654369,,,,,,,,
0.171753,2026.98,22317,0.786223,0.654673,,,,,,,,
0.1732,2035.12,22316,0.78541,0.654855,,,,,,,,
0.172947,2028.43,22367,0.786486,0.654623,,,,,,,,
0.175595,2029.21,22319,0.786472,0.654792,,,,,,,,
0.177412,2032.16,22340,0.785553,0.654884,,,,,,,,
0.175855,2037.11,22283,0.78637,0.654502,,,,,,,,
0.184574,2031.27,22264,0.787127,0.654709,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,2030.9375,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,22313,22367,103
,,,,,,,,,,,22264,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,0.786224625,0.787127,0.001717
,,,,,,,,,,,0.78541,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,0.654675875,0.654884,0.000515
,,,,,,,,,,,0.654369,
