time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,
0.165189,2045.57,20741,0.66897,0.552848,,,,,,,,
0.166829,2038.31,20629,0.669529,0.551944,,,,,,,,
0.167993,2051.07,20770,0.671967,0.55533,,,,,,,,
0.16672,2213.15,20664,0.670839,0.55339,,,,,,,,
0.177151,2628.24,24537,0.689801,0.623717,,,,,,,,
0.166324,2053.08,20831,0.672624,0.556571,,,,,,,,
0.167187,2359.65,23630,0.700011,0.608723,,,,,,,,
0.170927,2091.18,20890,0.673545,0.557511,,,,,,,,
0.165846,2039.3,20595,0.671995,0.554356,,,,,,,,
0.167741,2051.8,20841,0.672742,0.556097,,,,,,,,
0.181017,2337.42,23623,0.700388,0.609381,,,,,,,,
0.174899,2131.2,21460,0.686541,0.569975,,,,,,2167.053333,,
0.175536,2383.18,23967,0.69674,0.615614,,,,,,,,
0.172132,2032.59,20637,0.667972,0.551909,,,,,,,,
0.176644,2050.06,20810,0.671753,0.555376,,,,,,,,
,,,,,,,,,,21641.66667,24537,3942
,,,,,,,,,,,20595,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,0.6790278,0.700388,0.032416
,,,,,,,,,,,0.667972,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,0.571516133,0.623717,0.071808
,,,,,,,,,,,0.551909,
