time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000861,0.005133,11,0.579892,0.267278
0.000715,0.00275,10,0.602571,0.236343
0.000707,0.002272,11,0.604421,0.256019
0.000711,0.002107,9,0.588192,0.218003
0.000366,0.002333,12,0.584811,0.27724
0.000403,0.001955,11,0.586177,0.259437
0.000352,0.001847,10,0.590537,0.256624
0.000439,0.002606,12,0.58082,0.27755
0.000354,0.001464,11,0.60442,0.256019
0.000741,0.002505,11,0.59999,0.251778
0.000728,0.002406,10,0.602071,0.257654
0.000806,0.002639,11,0.568142,0.264376
0.00078,0.001831,10,0.59415,0.255886
0.000748,0.002559,11,0.60442,0.256019
0.000893,0.001856,11,0.604338,0.26943
0.000806,0.001681,12,0.602366,0.275914
0.000806,0.002386,9,0.598074,0.217032
0.000801,0.001711,11,0.604562,0.261727
0.000796,0.001917,10,0.581006,0.211906
0.000723,0.0032,12,0.584932,0.277678
0.000711,0.002985,11,0.60442,0.256019
0.000809,0.002337,11,0.604338,0.26943
0.000803,0.002008,9,0.57077,0.213029
0.000711,0.003031,9,0.595793,0.209161
0.000714,0.002216,10,0.604229,0.233024
0.000799,0.00192,13,0.561069,0.292577
0.000746,0.002582,12,0.602366,0.275914
0.000736,0.00253,12,0.555678,0.255942
0.000716,0.002309,10,0.582583,0.245347
0.000766,0.002834,11,0.602536,0.251115
0.000706,0.002727,11,0.604421,0.256019
0.000746,0.002965,10,0.573827,0.232741
0.000721,0.002969,12,0.57321,0.261376
0.000789,0.002439,12,0.602366,0.275914
0.000717,0.002144,9,0.602983,0.220369
0.000724,0.003079,12,0.580092,0.268955
0.000717,0.002513,10,0.602185,0.236846
0.000734,0.002307,10,0.604591,0.230401
0.000962,0.002247,9,0.590393,0.205709
0.000807,0.002089,10,0.574583,0.217223
0.000731,0.002787,11,0.602033,0.247949
0.000832,0.00238,9,0.585296,0.250966
0.000723,0.002303,12,0.584932,0.277678
0.000756,0.003091,10,0.602334,0.241743
0.000788,0.002329,9,0.605541,0.213015
0.000715,0.002639,10,0.591636,0.240639
0.000726,0.002134,10,0.603569,0.220768
0.000723,0.003401,13,0.582468,0.292242
0.000727,0.002986,11,0.604562,0.261727
0.000772,0.004315,10,0.603316,0.250191
0.000838,0.002138,10,0.574449,0.255696
0.000702,0.004239,9,0.593927,0.231548
0.000134,0.001416,10,0.604508,0.244066
0.000119,0.000868,12,0.58082,0.27755
0.000118,0.000644,12,0.580596,0.285142
0.000129,0.000788,10,0.604088,0.227257
0.000119,0.000619,11,0.604338,0.26943
0.000119,0.000622,11,0.578329,0.274027
0.000116,0.000628,11,0.599013,0.257113
0.000118,0.000617,11,0.58459,0.253721
0.000119,0.001568,10,0.593687,0.253507
0.000119,0.000497,11,0.604562,0.261727
0.00012,0.00099,10,0.599298,0.258643
0.000117,0.000738,11,0.567215,0.252125
0.000118,0.000609,10,0.596126,0.23928
0.000117,0.000491,12,0.602366,0.275914
0.000117,0.000486,9,0.552358,0.190276
0.000129,0.000848,10,0.597222,0.243915
0.000119,0.00071,8,0.594829,0.20501
0.000339,0.001824,10,0.598646,0.234723
0.000115,0.000656,11,0.56868,0.263091
0.000118,0.001317,10,0.569052,0.244984
0.000121,0.001358,11,0.570322,0.249371
0.000114,0.000479,13,0.582117,0.285892
0.000121,0.000824,11,0.5846,0.249775
0.000122,0.000758,12,0.584932,0.277678
0.000121,0.000505,12,0.602366,0.275914
0.000123,0.000497,10,0.59636,0.243197
0.000123,0.000512,11,0.602033,0.247949
0.000121,0.000653,12,0.580596,0.285142
0.000125,0.000491,11,0.602536,0.251115
0.000124,0.000717,10,0.598646,0.234723
0.000123,0.000609,11,0.604562,0.261727
0.000122,0.000633,11,0.599234,0.268293
0.000124,0.001191,11,0.555221,0.254158
0.000344,0.000737,10,0.585956,0.235097
0.000153,0.000687,11,0.604338,0.26943
0.000124,0.000514,12,0.602366,0.275914
0.000125,0.00091,14,0.558433,0.306674
0.000119,0.000612,10,0.571245,0.240374
0.00012,0.000591,10,0.590369,0.247485
0.00012,0.00049,12,0.574425,0.267561
0.000118,0.000727,11,0.602033,0.247949
0.000151,0.001371,10,0.540033,0.229409
0.000119,0.000765,13,0.58207,0.285892
0.000142,0.000655,11,0.60442,0.256019
0.000124,0.000645,10,0.604088,0.227257
0.00012,0.000603,9,0.584469,0.247257
0.000119,0.000651,11,0.597123,0.245082
0.000119,0.000919,12,0.580536,0.273246
0.000119,0.002412,8,0.564227,0.18864
0.000703,0.002881,11,0.604338,0.26943
0.000128,0.00049,10,0.603569,0.220768
0.000122,0.000709,8,0.586088,0.209694
0.000125,0.000629,9,0.600309,0.223655
0.000119,0.001386,12,0.583501,0.27145
0.000133,0.001724,11,0.604562,0.261727
0.000121,0.000626,10,0.598113,0.232006
0.000122,0.000765,11,0.604562,0.261727
0.000119,0.001174,12,0.571935,0.273891
0.000125,0.000662,12,0.584811,0.27724
0.000121,0.00092,14,0.558157,0.300844
0.000121,0.000657,11,0.579248,0.263227
0.000121,0.000493,11,0.601206,0.254847
0.000119,0.000987,11,0.604562,0.261727
0.000119,0.000604,11,0.604338,0.26943
0.000117,0.000651,11,0.604338,0.26943
0.000162,0.000589,9,0.593962,0.217733
0.000118,0.000736,11,0.604338,0.26943
0.000345,0.001897,12,0.602366,0.275914
0.000117,0.00063,10,0.585956,0.235097
0.000119,0.000484,9,0.60144,0.229927
0.000117,0.000639,11,0.575026,0.252085
0.000119,0.001081,10,0.603316,0.250191
0.000119,0.000603,11,0.604562,0.261727
0.000118,0.000947,9,0.605541,0.213015
0.000118,0.000625,13,0.582347,0.291816
0.000119,0.000484,12,0.602366,0.275914
0.000151,0.000653,11,0.604562,0.261727
0.000116,0.00051,12,0.58091,0.26537
0.000173,0.000678,12,0.602366,0.275914
0.000125,0.000479,9,0.593895,0.201567
0.000131,0.000712,9,0.594619,0.228476
0.000125,0.000478,10,0.594228,0.23169
