time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI,,,,,,,,,
0.456394,6562.38,32385,0.399892,0.0400433,,,,,,,,,
0.456607,7232.72,40961,0.635565,0.0493639,,,,,,,,,
0.465788,7214.6,39460,0.674946,0.0497982,,,,,,,,,
0.45801,6725.59,34058,0.515747,0.0430812,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,6933.8225,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,36716,40961,8576
,,,,,,,,,,,,32385,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,0.5565375,0.674946,0.275054
,,,,,,,,,,,,0.399892,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,0.04557165,0.0497982,0.0097549
,,,,,,,,,,,,0.0400433,
